Region,Year,mean_ndvi,mean_bsi,mean_ndwi,Area_Name,Final_Label,Area_Trend,Risk_Factor,Area_Risk_Trend,Mean_Rainfall_mm
70,2020-01-01,1.4674511278275562,-0.8212338158189896,-1.3212798817997409,Central Island,2,Overall Stable,3.609964825446287,Stable,11.727165044992825
70,2021-01-01,-0.3493296536694982,1.2673360682541064,-0.0278469887252745,Central Island,0,Overall Stable,1.6445127106488793,Stable,5.94158310828363
70,2022-01-01,-0.9907223959145616,0.6856411692474387,0.9059270330476468,Central Island,1,Overall Stable,2.5822905982096467,Stable,6.530606419844826
70,2023-01-01,-1.000806441090014,0.6548733198216794,0.881029083044885,Central Island,1,Overall Stable,2.5367088439565784,Stable,10.445027118637448
70,2024-01-01,-0.1505720012778503,-0.2211686507940437,0.3172887999691562,Central Island,1,Overall Stable,0.6890294520410503,Stable,11.971250768184929
70,2025-01-01,-0.6482647431742695,0.3818919304406278,0.6970837368859025,Central Island,1,Overall Stable,1.7272404105007997,Stable,1.078603546838371
65,2019-01-01,-0.224197302410519,0.7062085978018432,0.0063105015233143,Aberdare,0,Overall Stable,0.9367164017356764,Stable,23.086656447556926
65,2020-01-01,0.1298961204975235,0.230659646251872,-0.4286144613102261,Aberdare,0,Overall Stable,0.7891702280596218,Stable,29.29123865347545
65,2021-01-01,-0.2509723302108452,0.7371194326482656,-0.0212580472711824,Aberdare,0,Overall Stable,1.0093498101302931,Stable,17.633955679699213
65,2022-01-01,-0.8950824464942555,0.4351890073589298,0.8988953902675539,Aberdare,1,Overall Stable,2.2291668441207397,Stable,15.97101337004219
65,2023-01-01,-0.7310835277500392,0.2524331806069159,0.7804788699616247,Aberdare,1,Overall Stable,1.76399557831858,Stable,19.01600472161705
65,2024-01-01,-0.2828779679292171,-0.3323145504448993,0.4656103351362485,Aberdare,1,Overall Stable,1.0808028535103649,Stable,28.541705641541416
65,2025-01-01,0.2182117568654868,-0.7510162053952935,0.0956709324219401,Aberdare,1,Overall Stable,1.0648988946827205,Stable,13.405851089750096
64,2019-01-01,0.7693840819408478,-0.1611386992840952,-1.049357785512086,Naivasha Wildlife Sanctuary,2,Overall Stable,1.979880566737029,Stable,14.41390523462917
64,2020-01-01,-0.0802950839077624,0.709762482591685,-0.6581631381788162,Naivasha Wildlife Sanctuary,0,Overall Stable,1.4482207046782636,Stable,17.629831053173874
64,2021-01-01,0.6613704888717431,-0.0345431215903364,-0.8276933666518309,Naivasha Wildlife Sanctuary,2,Overall Stable,1.5236069771139105,Stable,11.587836733494678
64,2022-01-01,0.6878664912016491,-1.143111120263441,-0.4166001996375672,Naivasha Wildlife Sanctuary,2,Overall Stable,2.247577811102657,Stable,9.956542670098756
64,2023-01-01,-0.8643520011929845,0.1940514311049583,0.7377523596551862,Naivasha Wildlife Sanctuary,1,Overall Stable,1.796155791953129,Stable,11.600612808347206
64,2024-01-01,0.2741947143186773,-0.8588999573962679,0.0282147882945555,Naivasha Wildlife Sanctuary,2,Overall Stable,1.1613094600095009,Stable,20.841308289674977
